Time:by and by,on time,from time to time,now,date,year,day,after,then,now and then
Taste:rotten,juicy,sour,sweet and sour,tasty,spicy,creamy,moist,seasoned,pleasing,mouth watering,saline,biting,yummy,bland,spoiled,tart,oily,salty,fragrant
Animal:mosquito,canary,oyster,rhino,colt,harp seal,monarch butterfly,ape,bloodhound,canine,dragonfly,pussycat,gull,ring billed gull,badger,sponge,ox,mole,naked mole rat,golden retriever,Labrador retriever,reptiles,lizard,monitor lizard,cub,hound,squirrel,flying squirrel,mammoth,viper
Car:rotary engine,convertible,heater,station wagon,coupe,sedan,booster,clutch,limousine,cruiser,limo,stretch limo,compressor,radiator,manifold,hatchback,rotor,buggy,condenser,strut,roadster,canister,gearbox,minivan,muffler,alternator,caliper,drivetrain,crankshaft,dragster,hearse,humvee,runabout,subcompact,ragtop
Algorithm:prefix,hash,vertex,occurrence,relaxation,alphabet,bucket,collision,heap,suffix,iteration,exponential,ancestor,predicate,recurrence,fractal,adversary,recursion,clique,permutation,negation,automaton,radix,factorial,centroid,trie,digraph,bisector
Education:educate,tutor,lecturer,pupil,probation teacher,intern,educator,schoolgirl,extern,post doctorate,intelligence quotient,refresher course,extracurricular activities,boarder,headmaster,schoolboy,commoner,governess
Weather:tropical disturbance,hail,prevailing wind,eddy,disruption,tornado,tornado alley,rope tornado,sun pillar,rainy,rainy season,celestial,tidal wave,vortex,swell,cyclone,windy,saturation,thermometer,haze,shady,blizzard,doppler radar,intermittent,clement,damp,convection,arid,biting,pollutant
Food:bamboo shoots,almond,pineapple,vinegar,boil,barley,carbohydrate,kettle,kettle corn,patty,ribs,crust,diner,mole sauce,maize,pastry,Danish pastry,mango,cranberry,spaghetti,kiwi,sunflower,brunch,French fries,rye,toaster,cater,pea,pea pod,edible
Tree:elm,chestnut,birch,paper birch,mahogany,hickory,spruce,redwood,almond,magnolia,tulip tree,beech,fir,Douglas fir,Scotch pine,teak,juniper,linden,slippery elm,lilac,choke cherry,apricot,hawthorn,grapefruit,locust
Typography:hint,flush,align,oblique,kern,serif,slab,orphan,indent,gutter,ragged,humanist,pica,ellipsis,ligature,ascender
Construction:knot,radial,runoff,insulated,fixture,darby,enamel,soluble,siding,warp,limestone,filler,datum,laminated,molding,laminate,slab,mortar,pedestal,faucet,drip,conduit,ply,plaster,sleeper,biscuit,piles,tread,rake,pigment
Job:interpreter,pharmacist,simultaneous,economist,public servants,rabbi,tailor,philosopher,politician,expert on folklore,fisherman,butcher,facilitator,chemist,comptroller,magician,craftsman,veterinarian,salesman,novelist,waiter,receptionist,policeman,tracer,physicist,waitress,biologist,crook,playwright,burglar
Gardening:gather,transplant,rake,hoe,sow,plow,shovel,mulch,fertilize
Restaurant:spicy,cutlery,starters,spices,roasted,mustard,cashier,supper,grilled,bistro,luncheon,diner,brunch,fries,French fries,dine,cafeteria,utensils,ice cubes,boiled,lettuce,noodles,refreshments,platter,hamburger,saucer,waiter,head waiter,iced,waitress
Machine Learning:ensemble,variance,convergence,residual,gradient,dataset,inference,entropy,epoch,estimator,embedding,boosting,histogram,neuron,covariance,classifier,bayes,convolution,outlier,bagging,centroid,discriminator
City Name:Seoul,Taipei,Corpus Christi,Garland,Fremont,Glendale,Chesapeake,Bordeaux,Gland,Cannes,Basel,Bakersfield,Sion,Plano,Rotterdam,Wil,Lubbock,Toulouse,Bern,Marseille,Baden,Utrecht,Strasbourg,Thorn,Versailles,Laredo,Metz,Lille,Lausanne,Limoges
Farm:coop,donkey,mare,herd,calf,weeds,fertilizer,flock,barley,hog,ox,steer,mule,acreage,rye,bison,pasture,reap,longhorn,farmhouse,rake,mower,swine,stallion,rooster,hoe,trough,geese,sow,oats
Pirate:maroon,parrot,corpse,jewels,conquest,Jolly Roger,mast,vicious,rum,mayhem,bounty,earring,infamous,armada,scar,lookout,greed,tides,lore,daring,corsair,menace,mariner,revolt,riches,coastline,thug,dagger,bandit,villain
Animal:pelican,white pelican,brown pelican,bulldog,steer,leopard,snow leopard,ibis,mule,kiwi,algae,coyote,migrate,bovine,emu,bison,American bison,white Bengal tiger,peacock,hare,caterpillar,gorilla,sea cucumber,red tailed hawk,white tailed deer,herring,sparrow,tree sparrow,American tree sparrow,firefly
Refrigerator:meat keeper,compressor,refrigerator compartment,dairy compartment,freezer compartment,butter compartment,gasket,thermostat control,condenser coil,defrost heater,defrost timer,evaporator coil,crisper
Finance:lien,fulfillment,annuity,amortization,cashier,amex,escrow,questionable,averaging,discretionary account,liquidity,installment,clearinghouse,custodian,takeover,negotiable,intangible,accumulate,laundering,recession,transferable,depository,speculative,fiduciary,intermediary,bankrupt,lucrative,forfeiture,recourse,surety
Landform:strait,lagoon,swamp,butte,lava dome,lava tube,plateau,shoreline,chimney,tidal basin,mound,waterfall,spit,crater lake,gorge,dune,sand dune,oceanic trench,hillside,coastline,overlook,topography,cirque,slough,arroyo,bayou,estuary,tundra,cavern,foothills
Mathematics:perimeter,parity,prism,polynomial,stochastic,analytic number theory,similarities,zeta function,kinetics,imaginary,iteration,simulate,squared,repetition,multiplication,motivate,amplification,optimism,fahrenheit,trajectory,polygon,regular polygon,inversion,axiom,quadratic,sine wave,quadrant,perpendicular,practicum,devise
Camping:scenery,hike,canoe,vest,hut,evergreen,kayak,lantern,campground,flashlight,paddle,camper,waterfall,pup tent,hammock,campfire,sunscreen,oar,insect repellent,dugout,canteen,dehydrated food,tarp,knapsack,gorp
School:class clown,arithmetic,messy,binder,ruler,thumb tack,woodworking,chalk,chalk board,scissors,colored pencils,blackboard,mortar board,cafeteria,staple remover,quarterback,confrontation,victories,instruct,recess,attire,kickoff,yelling,bookcase,colds,eraser,boosters,flashcards,squirrels,whiteboard
Vegetables:water chestnut,mustard greens,basil,bamboo shoots,Chinese cabbage,maize,pea,soybean,spinach,carrot,cucumber,acorn squash,lettuce,broccoli,pickle,parsley,celery,asparagus,iceberg lettuce,alfalfa
Cowboy:rodeo,pistol,herd,holster,stampede,corral,lasso
Sport:paddle,hoop,snatch,downhill skiing,inning,badminton,inline skates,ice skates,roller skates,triathlon,horseback riding,skateboarding,fielding,golfing,catcher,surfer,curling,quarterback,canoeing,ping pong,batter,snorkeling,synchronized swimming,intercept,axel,tug of war,puck,golfer,bicycling,aerobics
Farm Machinery:seed drill,tractor,fertilizer distributor,rotary hoe,harrow,disk harrow,combine harvester,manure spreader,subsoil plow,baler,ribbing plow,cultivator
Stationery:staples,letter opener,clipboard,clamp binder,ring binder,ruler,tape dispenser,staple remover,eraser,fastener binder,ballpoint pen,pencil sharpener,stapler,dater
Clothes:robe,slippers,bib,tam,swimsuit,wig,bell bottoms,pea coat,hem,drawers,tights,veil,visor,blazer,hoodie,trench,trench coat,boa,Velcro,tweed jacket,apron,trunks,scrubs,attire,snaps,twill,hosiery,camouflage,boxers,cloak
Emotion:tolerant,furious,sympathetic,tenacious,worrying,hopeful,earnest,bullying,ashamed,cruelty,cautious,heroic,selfish,tempted,greedy,ire,witty,compassionate,vigorous,cheerful,imaginative,impartial,sober,dread,respectful,needy,weary,annoyed,distressed,doubtful
Food:chow,pudding,aroma,dine,spinach,peanuts,preserves,carrot,chew,cucumber,utensils,taco,whipped cream,raspberry,yogurt,acorn squash,crunch,lettuce,casserole,crackers,cider,biscuit,stew,batter,noodles,broccoli,clam,bland,loaf,jug
Physics:mole,saturation,ohm,entropy,quart,doctorate,conductivity,robotic,adhesion,relativity,polarization,diode,galileo,convection,latent,transistor,alternating,pint,aristotle,capacitor,hertz,meteorology,ultrasonic,geophysics,trajectory,viscosity,gravitational,diffraction,magnification,trough
Dinnerware:water pitcher,salt shaker,pepper shaker,platter,fish platter,gravy boat and stand,saucer
Leisure Activity:entertain,archery,jacks,karate,kayaking,take a roller coaster ride,rafting,crochet,paddle,badminton,dine,triathlon,horseback riding,skateboarding,curling,canoeing,soar in a hot air balloon,bicycling,aerobics,yachting,grape stomp,sled dog racing,trail sled dog racing,motocross,judo,sumo wrestling,hang gliding,racket ball,discus,dressage
Mammal:mole,naked mole rat,squirrel,flying squirrel,mammoth,leopard,snow leopard,coyote,bison,American bison,hare,gorilla,kangaroo,red kangaroo,kangaroo rat,longhorn,grizzly bear,otter,sea otter,river otter,ferret,wolverine,hamster,black bear hamster,great apes,cougar,hedgehog,sugar glider,mammal,reindeer
Monster and Mythical Beast:freak,wretch,imp,swamp monster,troll,mummy,Loch Ness monster,Pegasus,genie,mermaid,unicorn,Godzilla,siren,brute,orc,undead,sprite,werewolf,hydra,ogre
Communicate:remark,gossip,scream,shout,bark,jaw,converse,whisper,chatter,yak,drone,babble,murmur,gulp,blather,slur,rasp,stammer,blurt,cackle,schmooze
Vegetable:marrow,fertilizer,chop,cabbage,Chinese cabbage,maize,pea,chick pea,edible,dislike,spinach,carrot,cucumber,acorn squash,lettuce,cos lettuce,broccoli,yummy,bland,pumpkins,palate,parsley,melon,olives,celery,asparagus,soybeans,veggies,yam,thyme
Ocean:lobster,tuna,submarine,oyster,harp seal,gull,sponge,algae,sea cucumber,tides,herring,otter,clam,snail,salinity,horseshoe crab,nautilus,octopus,barracuda,gar,eel,snapper,brittle star,orca,mussels
Winter:glacier,furnace,radiator,chimney,windy,thermometer,skates,ice skates,comforter,blizzard,biting,curling,hoodie,slippery,overcast,snowy,duvet,icy,snowman,flannel,solstice,iceberg,reindeer,chilly,sled,dog sled,cocoon,bleak,glacial,snowfall
Car Parts:heater,dashboard,booster,bucket seat,clutch,accelerator,compressor,glove compartment,radiator,manifold,emergency flare,rotor,windshield,sun visor,headlight,headlight switch,condenser,strut,windshield wiper,canister,gearbox,muffler,alternator,alternator gauge,caliper,windscreen,ashtray,drivetrain,odometer,crankshaft,tachometer,speedometer,taillight,oil dipstick,hubcap,blinker,gearshift
Baseball:scoreboard,lineup,pitcher,relief pitcher,starting pitcher,batting average,batting team,shin guards,mound,innings,inning,extra inning,fielding team,catcher,slider,batter,designated hitter,ho hitter,pinch hitter,switch hitter,clutch hitter,fielder,left fielder,right fielder,center fielder,spiked shoes,umpire,field umpire,plate umpire,fumble
Military:mortar,covert,cavalry,helm,recon,bunker,field marshal,commanding officer,chit,breakout,salute,ballistic,blower,cadet,trench,quay,overhaul,bunk,armored vehicle,ammo,decode,gator,skipper,camouflage,ordnance,invade,destroyer,revolver,guerrilla,sonar
Bird:flight feathers,pelican,white pelican,brown pelican,ibis,kiwi,migrate,emu,peacock,red tailed hawk,oyster catcher,sparrow,American tree sparrow,finch,birding,flamingo,American flamingo,snowy owl,hummingbird,heron,rooster,condor,quail,osprey,warbler,wren,partridge,black simmer,cuckoo,brood
Wood:hickory,spruce,beech,fir,teak,poplar,acacia,sycamore,cocobolo
Animal:finch,kangaroo,red kangaroo,kangaroo rat,longhorn,greyhound,grizzly bear,flee,emerald tree boa,slug,otter,sea otter,river otter,crocodile,American crocodile,flamingo,American flamingo,snowy owl,clam,husky,Siberian husky,hummingbird,snail,heron,moth,luna moth,jumping bean moth,pug,unicorn,ferret
Law:hostage,contempt,indictment,seize,dealings,deter,nuisance,disregard,negotiable,supervise,holster,homicide,undercover,instruct,tactic,sanction,rulings,outage,unconstitutional,quantify,constable,misdemeanor,trooper,cuffs,burglary,subpoena,summons,uphold,mace,allegation
Vacation:getaway,itinerary,bathing suit,sack,campground,baggage,excursion,swimsuit,waterfall,wander,souvenir,downtime,tram,suitcase,keepsake,embark,sunscreen,foreigner,hiatus,unpack,takeoff,seashore,tramway,knapsack
Spirit:rum,brandy,vodka,scotch,gin,whisky,bourbon,tequila,cognac,liqueur
Chemistry:wavelength,solvent,photon,neutron,octet,mole,entropy,cathode,anode,hydrolysis,electrolysis,solute,anion,effusion
Halloween:supernatural,robe,moonlight,wig,troll,crypt,wand,magic wand,mummy,firefighter,creepy,coffin,genie,Grim Reaper,frightening,disguise,cloak,chilling,spine chilling,spooky,thrilling,superhero,witchcraft,astronaut,alarming,dreadful,masquerade,specter,startling,goblin
Dog:hound,Afghan hound,scent hound,bulldog,chow chow,maltese,Maltese,greyhound,husky,Siberian husky,pug,pup,spaniel,springer spaniel,King Charles spaniel,Rottweiler,rottweiler,chihuahua,Chinese crested dog,beagle,collie,border collie,setter,Irish setter,mutt
Hotel:built in wardrobe,fluorescent lamp,cushion,air conditioned,swivel chair,stool,cellar,rocking chair,radiator,opal bulb,bookshelf,attendant,sponge,thermometer,chest of drawers,opaque bulb,wicker chair,clothes hanger,billiard room,chandelier,cloak room,sprinkle nozzle,waiter,broom closet,armchair,bookcase,frosted bulb,shutters,waitress,bedside lamp,newsstand,ashtray,lavatory,bayonet type bulb,transom window,washroom,bedspread,pillowcase,bathrobe,settee,lampshade,washbasin,windowsill,bellboy
Tool:pipe wrench,Allen wrench,adjustable wrench,hex wrench,box end wrench,open end wrench,chain pipe wrench,sander,finishing sander,staple,wire stripper,clippers,rake,lawn rake,spade,hoe,garden hoe,soldering gun,jig,screwdriver,large screwdriver,Phillips screwdriver,post hole digger,pulley,plow,pliers,locking pliers,needle nose pliers,rib joint pliers,side cutting pliers
Reptile:glass lizard,monitor lizard,viper,mountain viper,pit viper,Emerald tree boa,crocodile,Nile crocodile,American crocodile,Jamaican boa,reptile,alligator,chameleon,gecko,gopher snake,tortoise,Galapagos tortoise,desert tortoise,yellow foot tortoise,musk turtle
Automobile:suv,limousine,limo,hatchback,roadster,minivan,cabriolet,dragster,hearse,humvee,hotrod,subcompact
Time:chronological,someday,rotate,per annum,galactic year,jubilee,chronology,ante meridian,in the mornings,epoch,synchronized,geologic time,bedtime,chimes,per diem,biennial,equinox,solstice,summer solstice,winter solstice,trimester,pendulum,pendulum clock,Zulu time,cuckoo clock,nighttime,fortnight,hourglass,eon,belated
Speed:lazy,speedy,agile,sluggish,hasty,nimble,spry,poky
Shape:symmetry,skinny,wedge,irregular shape,helix,kite,rectangle,prism,orb,polygon,regular polygon,convex polygon,chunky,asymmetry,ellipse,concave polygon,hexagonal prism,hexagon,octagon,torus,Platonic solid,tetrahedron,obtuse triangle,ellipsoid,whorl
Quantity:maximize,shrink,multiply,subtract,diminish,lessen,augment,shorten,accrue,magnify,deflate,condense,abridge
Catering:roast,slices,pastry,weighed,utensils,waiter,waitress,napkin,sausages,hygienic,cloakroom
World:Filipino,Latvian,Haitian Creole,Maltese,Basque,Icelandic,Kurdish,Malay,Catalan,Gaelic,Macedonian,Bosnian,Cantonese Chinese,Mongolian,Urdu,Yiddish,Bengali,Mayan,Afrikaans,Somali,Burmese,Tagalog,Swahili,Zulu,Sanskrit
Cat:bombay,tomcat,leopard,snow leopard,bengal,Bengal tiger,siberian,Siberian tiger,cougar,feline,Somali,burmese,Burmese,cheetah,wildcat,Maine coon,himalayan,Himalayan,calico,bobcat
3D Graphics:sketch,simplify,sweep,helper,lattice,skeleton,rotate,rig,prism,simulate,diffuse,polygon,dope,integrator,tangent,attenuation,teapot,animate,skew,spline,intersect,distort,occlusion,torus,shader,specular,subdivide,deform,keyframe,extrude,biped,falloff
Room:attic,ballroom,cellar,wine cellar,loft,boiler room,showroom,dungeon,tack room,conservatory,courtroom,hallway,darkroom,pantry,parlor,solarium,foyer,boardroom,breakfast nook,restroom,armory,dormitory,kitchenette,grotto,stateroom,garret,washroom,playroom,larder,boudoir
Negative Feeling:offended,ashamed,obsessed,singled out,selfish,overwhelmed,obligated,disconnected,creepy,paranoid,annoyed,distressed,frightened,embarrassed,incapable,deserted,inefficient,dissatisfied,depleted,cynical,aggravated,suicidal,misunderstood,betrayed,grief stricken,careless,incompetent,lousy,clumsy,deceived
Fish:tuna,barb,ling cod,carp,herring,marlin,luminous shark,catfish,upside down catfish,pollock,koi,perch,Galapagos shark,sturgeon,barracuda,whiting,angler,gar,eel,electric eel
Chemical Elements:Sulfur,Cobalt,Phosphorus,Chlorine,Helium,Chromium,Arsenic,Xenon,Manganese,Iodine,Selenium,Cadmium,Palladium,Radon,Plutonium,Boron,Rhodium,Iridium,Argon,Barium
Head:lower jaw,upper jaw,cheek,mole,forehead,wrinkles,gums,eyebrow,freckles,dimple,pimple
Kitchen:salt shaker,pepper shaker,utensils,mop,yogurt maker,casserole,stew pot,batter,apron,flatware,jug,platter,serving platter,gravy boat,bun warmer,saucer,salad spinner,measuring spoons,tablespoon,steamer,broom,skillet,iron skillet,waffle iron,cleanser,cupboard,muffin pan,caddy,teapot,frying pan
Architecture:courtyard,balcony,brace,molding,truss,setback,facade,belvedere,spire,turret,veranda,archway,portico,frieze,colonnade
Animal:wolverine,toad,stallion,luminous shark,rooster,horseshoe crab,skipper,wasp,nautilus,reptile,assassin bug,hamster,black bear hamster,great apes,cougar,scorpion,whip scorpion,condor,alligator,rottweiler,chihuahua,hedgehog,tundra wolf,pond skater,octopus,blue ring octopus,feline,grub,sugar glider,beagle
